batch_idx,neuron_idx,patch_idx,class_name,predicted,activation_value,activation_value_sds
344,0,99,prison,prison,2.6898646354675293,4.687916018770293
53,0,152,slot,scoreboard,2.5963025093078613,4.583278401083733
265,0,74,cougar,cougar,2.4163765907287598,4.382053607965479
193,0,18,cairn,Shih-Tzu,2.352508068084717,4.31062459786338
17,0,131,oil_filter,stove,2.288874864578247,4.239458762990003
126,1,172,white_wolf,Arctic_fox,3.6416401863098145,5.0901109543010685
126,1,13,white_wolf,Arctic_fox,3.415088415145874,4.8295752754422905
126,1,42,white_wolf,Arctic_fox,3.193727970123291,4.575009647814924
150,1,147,snowplow,snowplow,3.165285587310791,4.542300764205915
126,1,21,white_wolf,Arctic_fox,3.062852144241333,4.424501788321365
175,2,0,electric_ray,stingray,2.2061080932617188,5.26949244437986
249,2,0,American_black_bear,American_black_bear,2.0493218898773193,5.1006062403072026
208,2,0,tub,jean,1.910942792892456,4.951547714057431
156,2,0,ice_bear,Arctic_fox,1.7679202556610107,4.797487389306545
21,2,0,lacewing,lacewing,1.748894453048706,4.7769932672902735
415,3,106,quilt,screen,2.580742359161377,4.192546693466467
415,3,107,quilt,screen,2.3067374229431152,3.8988950250703938
227,3,17,Persian_cat,Persian_cat,2.2860300540924072,3.876702894172943
113,3,74,prison,prison,2.242701768875122,3.8302678794669975
56,3,109,hook,worm_fence,2.1767590045928955,3.759596879822305
239,4,75,warplane,missile,2.7512857913970947,5.075619612008909
239,4,149,warplane,missile,2.2499537467956543,4.639303457334607
239,4,120,warplane,missile,2.2332820892333984,4.624793885090141
239,4,136,warplane,missile,2.0365419387817383,4.453568233669125
245,4,26,rifle,sewing_machine,1.975499153137207,4.400441860061382
293,5,133,pelican,little_blue_heron,4.258736610412598,5.358532880494683
293,5,145,pelican,little_blue_heron,4.151593208312988,5.284890633122619
293,5,157,pelican,little_blue_heron,3.811361312866211,5.051041036065173
293,5,146,pelican,little_blue_heron,3.646397590637207,4.937657486525551
293,5,147,pelican,little_blue_heron,3.1506474018096924,4.596916411247373
191,6,90,wok,hot_pot,3.303135871887207,5.056942751422681
51,6,67,soup_bowl,hot_pot,2.902247428894043,4.718336923771147
191,6,56,wok,hot_pot,2.7723608016967773,4.608629673109031
369,6,20,burrito,head_cabbage,2.6185097694396973,4.478681162437349
191,6,44,wok,hot_pot,2.4035303592681885,4.297101268126442
313,7,2,balance_beam,balance_beam,1.592594861984253,3.8988738653860286
449,7,21,German_shepherd,German_shepherd,1.4834074974060059,3.7788144687815426
449,7,32,German_shepherd,German_shepherd,1.3973944187164307,3.6842368739522056
162,7,93,Windsor_tie,cowboy_hat,1.3804423809051514,3.665596883521993
173,7,179,handkerchief,quilt,1.3535141944885254,3.6359873968811063
69,8,0,hotdog,cheeseburger,3.1887869834899902,4.841885939104179
69,8,94,hotdog,cheeseburger,3.0286333560943604,4.731089153446825
69,8,77,hotdog,cheeseburger,2.9227242469787598,4.657819574401607
69,8,108,hotdog,cheeseburger,2.8303887844085693,4.593940456448884
69,8,107,hotdog,cheeseburger,2.774334669113159,4.5551613423033395
241,9,79,envelope,parking_meter,2.2873573303222656,4.073286077652193
48,9,152,fountain,fountain,2.241084337234497,4.035569989712122
370,9,115,pelican,spoonbill,2.2146105766296387,4.013991815998929
26,9,67,swimming_trunks,swimming_trunks,2.091611862182617,3.9137382983196116
26,9,18,swimming_trunks,swimming_trunks,1.9960551261901855,3.8358521271977057
145,10,22,beach_wagon,limousine,2.3676044940948486,3.855618508248516
200,10,154,bicycle-built-for-two,bicycle-built-for-two,2.2708094120025635,3.796483744666864
71,10,195,baboon,baboon,2.200718402862549,3.7536632297698107
71,10,184,baboon,baboon,2.1369338035583496,3.714695473159944
411,10,36,EntleBucher,Blenheim_spaniel,1.961962342262268,3.607800620925455
340,11,100,basset,muzzle,1.9452542066574097,4.543700510440781
404,11,113,flagpole,flagpole,1.8851715326309204,4.491621920725987
287,11,78,window_shade,radiator,1.6684374809265137,4.303760712169221
404,11,41,flagpole,flagpole,1.587422490119934,4.233538363791327
439,11,22,bald_eagle,bald_eagle,1.5856378078460693,4.23199143304269
213,12,158,torch,torch,1.9328020811080933,4.80146704006147
213,12,192,torch,torch,1.6050920486450195,4.516570320207093
213,12,157,torch,torch,1.4950623512268066,4.420915330198355
213,12,188,torch,torch,1.4342799186706543,4.368073750922111
213,12,159,torch,torch,1.3952064514160156,4.334104993327123
84,13,16,pillow,quilt,1.8095299005508423,4.224689840090977
84,13,170,pillow,quilt,1.768206000328064,4.1846365053780525
84,13,17,pillow,quilt,1.6495202779769897,4.069599954197136
102,13,0,grocery_store,grocery_store,1.5571818351745605,3.980100595799274
84,13,38,pillow,quilt,1.5424131155014038,3.965785962641191
332,14,164,flagpole,restaurant,1.1736868619918823,4.077590174513685
224,14,188,pop_bottle,beer_bottle,1.1271593570709229,4.036276891086689
162,14,37,Windsor_tie,cowboy_hat,1.0906496047973633,4.003858695739885
198,14,108,ballpoint,wooden_spoon,1.079279899597168,3.9937631650593763
301,14,190,night_snake,wok,1.0062309503555298,3.9289006294647666
455,15,24,Staffordshire_bullterrier,Rottweiler,1.8411669731140137,4.352004563588091
455,15,11,Staffordshire_bullterrier,Rottweiler,1.5409964323043823,4.083857609701915
455,15,66,Staffordshire_bullterrier,Rottweiler,1.5231753587722778,4.067937771033782
455,15,25,Staffordshire_bullterrier,Rottweiler,1.4245127439498901,3.97980094203081
455,15,49,Staffordshire_bullterrier,Rottweiler,1.4035990238189697,3.961118394661543
387,16,181,brassiere,purse,2.634556293487549,4.359340144023687
137,16,65,hard_disc,toilet_tissue,2.210724115371704,3.964607420666118
387,16,167,brassiere,purse,2.1335055828094482,3.892690555392988
369,16,0,burrito,head_cabbage,1.825599193572998,3.6059243921846837
197,16,188,comic_book,gorilla,1.7662845849990845,3.550682203917257
82,17,64,jinrikisha,tricycle,3.0641210079193115,4.344470878039928
473,17,91,medicine_chest,refrigerator,3.006354570388794,4.299426960739877
25,17,56,diaper,crib,2.8545970916748047,4.181092654296869
336,17,178,entertainment_center,bookcase,2.848653554916382,4.176458126192642
65,17,15,altar,china_cabinet,2.732231378555298,4.085676850627047
