batch_idx,neuron_idx,patch_idx,class_name,predicted,activation_value,activation_value_sds
139,0,191,sweatshirt,fur_coat,0.9483882188796997,2.7102821558639487
365,0,44,tricycle,tricycle,0.9207918643951416,2.6756460967980957
199,0,87,stage,studio_couch,0.9091830253601074,2.661075895696772
208,0,99,tub,jean,0.8843889236450195,2.6299569313433793
341,0,118,trench_coat,military_uniform,0.8732345700263977,2.6159571528221917
359,1,98,Leonberg,Norwich_terrier,1.025775671005249,2.5158929309746374
487,1,71,affenpinscher,giant_schnauzer,0.9976205825805664,2.4888471702220087
294,1,14,black_stork,oystercatcher,0.979337751865387,2.471284694198312
294,1,116,black_stork,oystercatcher,0.9740296006202698,2.466185687352773
161,1,22,leaf_beetle,leaf_beetle,0.9358109831809998,2.429472906772316
443,2,19,ice_cream,trifle,0.05830695480108261,6.683842136811622
82,2,152,jinrikisha,tricycle,0.04821480065584183,5.539863424429168
49,2,20,ibex,ibex,0.048079632222652435,5.524541640008379
377,2,116,half_track,jeep,0.047836147248744965,5.496941821087014
77,2,10,American_alligator,American_alligator,0.04762998968362808,5.473573186155737
136,3,66,rifle,military_uniform,0.4455111622810364,3.372220115963127
53,3,178,slot,scoreboard,0.44544294476509094,3.3716380853499097
296,3,43,pug,French_bulldog,0.44487571716308594,3.3667985097005584
434,3,129,skunk,skunk,0.4117896556854248,3.084508831105516
465,3,83,sulphur-crested_cockatoo,sulphur-crested_cockatoo,0.3969789147377014,2.9581438569997243
81,4,114,coyote,coyote,0.8751881122589111,2.5581074333083755
97,4,167,cliff_dwelling,cliff_dwelling,0.8154811859130859,2.4911023121950917
196,4,117,crutch,military_uniform,0.7896304130554199,2.462091705349124
356,4,114,oboe,trombone,0.774383544921875,2.444981157069194
16,4,29,long-horned_beetle,long-horned_beetle,0.7688402533531189,2.4387602888104696
288,5,10,zucchini,bell_pepper,0.012355804443359375,4.967916950471192
177,5,11,lab_coat,wig,-0.212013840675354,4.586184831525498
301,5,6,night_snake,wok,-0.22070884704589844,4.571391550534577
301,5,21,night_snake,wok,-0.25798678398132324,4.5079685957549565
177,5,27,lab_coat,wig,-0.34244728088378906,4.364271419460338
291,6,30,Chesapeake_Bay_retriever,Rhodesian_ridgeback,4.240318298339844,10.353824240784169
304,6,154,racket,volleyball,3.9172134399414062,9.715980335041474
264,6,46,wardrobe,bassinet,3.6810131072998047,9.249695354194614
291,6,69,Chesapeake_Bay_retriever,Rhodesian_ridgeback,3.3465864658355713,8.589501025228776
476,6,17,Shetland_sheepdog,collie,3.251333475112915,8.401461328340995
68,7,107,thatch,thatch,0.16225293278694153,5.755811150302996
309,7,85,ptarmigan,ptarmigan,0.13850098848342896,4.882897701063896
189,7,140,trifle,trifle,0.1325812041759491,4.665338276346419
453,7,169,ambulance,police_van,0.13107600808143616,4.61002045066222
99,7,70,hard_disc,laptop,0.12980905175209045,4.563458232203291
492,8,157,lawn_mower,lawn_mower,2.7538390159606934,3.7325378220360115
232,8,186,pencil_box,apron,2.747602939605713,3.7253353129829585
232,8,185,pencil_box,apron,2.7448253631591797,3.722127283067525
409,8,172,lacewing,lacewing,2.7337746620178223,3.709364005249471
219,8,171,carton,pencil_box,2.721548080444336,3.695242615539321
195,9,66,recreational_vehicle,minibus,4.369908809661865,8.129353557939123
450,9,164,pickup,tow_truck,4.332307815551758,8.071381520397884
450,9,158,pickup,tow_truck,4.328795433044434,8.065966238823744
134,9,25,lens_cap,sewing_machine,4.233273029327393,7.918692782220499
108,9,22,fire_screen,punching_bag,4.2169013023376465,7.893451365228033
113,10,32,prison,prison,2.9865176677703857,8.232454084372485
282,10,73,turnstile,turnstile,2.9689929485321045,8.194754178232465
60,10,182,drake,European_gallinule,2.8763909339904785,7.99554486656657
60,10,87,drake,European_gallinule,2.859374523162842,7.958938454656668
14,10,56,siamang,howler_monkey,2.7309532165527344,7.682673189590167
137,11,166,hard_disc,toilet_tissue,2.0529797077178955,3.5402180854312095
28,11,166,projectile,missile,1.9675965309143066,3.430825496939187
28,11,194,projectile,missile,1.9044647216796875,3.3499412725884565
232,11,180,pencil_box,apron,1.9001388549804688,3.344398989279093
242,11,195,lens_cap,toilet_seat,1.8923704624176025,3.3344461554459253
372,12,118,dock,lifeboat,0.07357029616832733,6.116261463158497
330,12,89,wool,prayer_rug,0.06738440692424774,5.609347550360827
128,12,59,plastic_bag,gasmask,0.06645733118057251,5.533376647206361
484,12,141,terrapin,box_turtle,0.06615901738405228,5.508930782130401
220,12,109,dial_telephone,dial_telephone,0.06502676010131836,5.4161459056417645
492,13,159,lawn_mower,lawn_mower,2.085171699523926,3.431256541685341
492,13,160,lawn_mower,lawn_mower,2.0625267028808594,3.4080994926261456
15,13,172,hair_spray,lotion,2.048809289932251,3.3940718992631136
47,13,176,desk,desk,2.006068706512451,3.350364858689364
492,13,158,lawn_mower,lawn_mower,2.004004955291748,3.3482544415841167
7,14,15,hip,pomegranate,0.8985243439674377,2.5747017293559304
480,14,4,colobus,hornbill,0.859160304069519,2.5311559853800953
70,14,101,Rottweiler,Doberman,0.7980859279632568,2.46359358191988
412,14,152,academic_gown,oboe,0.7974756956100464,2.4629185236207936
366,14,66,Norwegian_elkhound,Irish_water_spaniel,0.7631866931915283,2.424986946364605
329,15,174,little_blue_heron,little_blue_heron,0.06918978691101074,6.467236396965826
214,15,109,pole,pier,0.06637249886989594,6.190325985928096
129,15,3,wire-haired_fox_terrier,Irish_wolfhound,0.06287296116352081,5.8463574564159675
412,15,111,academic_gown,oboe,0.060495082288980484,5.612636442825059
490,15,139,screwdriver,disk_brake,0.06025172024965286,5.588716459721548
291,16,24,Chesapeake_Bay_retriever,Rhodesian_ridgeback,0.04571687802672386,5.983964330352693
236,16,179,Appenzeller,Border_collie,0.044684410095214844,5.842388030901904
424,16,41,Afghan_hound,collie,0.04311903566122055,5.627737374105354
426,16,172,starfish,axolotl,0.04200788214802742,5.475371380238886
64,16,195,projectile,fireboat,0.040989186614751816,5.33568360934859
186,17,121,ear,corn,-0.6252139806747437,2.5576181709012302
155,17,119,eggnog,cup,-0.6257115006446838,2.556868941145004
38,17,59,fig,acorn_squash,-0.6599481701850891,2.5053109472481165
210,17,106,vault,dome,-0.6729904413223267,2.485670212774757
420,17,113,Sealyham_terrier,Bedlington_terrier,-0.6743524670600891,2.4836190987026923
450,18,136,pickup,tow_truck,0.11823417991399765,5.827989809081336
78,18,43,Arabian_camel,Arabian_camel,0.10925465077161789,5.383786249743617
427,18,81,yurt,yurt,0.10861421376466751,5.3521048114957805
250,18,27,desktop_computer,desktop_computer,0.10832579433917999,5.337837144076668
254,18,38,jellyfish,jellyfish,0.1079234778881073,5.317935165174103
356,19,75,oboe,trombone,2.2868661880493164,5.331171489190564
356,19,61,oboe,trombone,2.2778666019439697,5.316203588507474
125,19,87,beer_bottle,puck,2.2207322120666504,5.221179010347753
460,19,61,vulture,black_stork,2.2200779914855957,5.220090926010603
91,19,93,dough,dough,2.211406707763672,5.205669050157053
372,20,118,dock,lifeboat,0.1035064160823822,8.33925055834794
412,20,128,academic_gown,oboe,0.08626292645931244,6.974980698713935
323,20,47,cassette_player,cassette_player,0.0763847827911377,6.193442044403766
220,20,109,dial_telephone,dial_telephone,0.07619430124759674,6.1783715317436245
162,20,74,Windsor_tie,cowboy_hat,0.07588521391153336,6.153917169790017
12,21,191,spiny_lobster,barn_spider,2.8024559020996094,6.589488947545674
57,21,142,crossword_puzzle,crossword_puzzle,2.792910099029541,6.571978531595086
260,21,39,Great_Dane,Staffordshire_bullterrier,2.789910316467285,6.566475857797935
445,21,8,crane,little_blue_heron,2.7727017402648926,6.534909176083525
229,21,49,papillon,Persian_cat,2.6677398681640625,6.342371573333165
48,22,108,fountain,fountain,0.08968177437782288,6.251565052673728
78,22,117,Arabian_camel,Arabian_camel,0.08928276598453522,6.2219913987984485
163,22,31,digital_watch,iPod,0.08866462856531143,6.176176367357985
312,22,82,hard_disc,combination_lock,0.08407322317361832,5.835871160401763
236,22,179,Appenzeller,Border_collie,0.0811052918434143,5.615894399607726
494,23,142,West_Highland_white_terrier,Bedlington_terrier,0.5941723585128784,2.11269453781794
288,23,60,zucchini,bell_pepper,0.5603137016296387,2.038046135274697
192,23,113,snowplow,snowplow,0.551406979560852,2.018409426806775
491,23,26,vizsla,Rhodesian_ridgeback,0.5421693325042725,1.9980431258513078
432,23,17,digital_clock,dial_telephone,0.5415894985198975,1.9967647620690958
63,24,84,paddle,paddle,1.5753173828125,4.190053292454194
378,24,57,French_loaf,French_loaf,1.574248194694519,4.187687839798548
335,24,71,Rottweiler,Rottweiler,1.5159709453582764,4.058756296426691
243,24,189,barbershop,tobacco_shop,1.4885077476501465,3.9979972093598692
276,24,152,tobacco_shop,tobacco_shop,1.472274661064148,3.9620834191405327
305,25,48,Pomeranian,Tibetan_terrier,2.5644216537475586,4.753730114126071
350,25,190,digital_clock,parking_meter,2.517770767211914,4.687766382310582
350,25,191,digital_clock,parking_meter,2.5174055099487305,4.687249913408455
350,25,192,digital_clock,parking_meter,2.517308473587036,4.687112705286284
350,25,193,digital_clock,parking_meter,2.516373634338379,4.685790855047878
62,26,135,brass,hay,0.10705576837062836,6.526282924937196
480,26,170,colobus,hornbill,0.09948191791772842,6.0364869478810395
129,26,126,wire-haired_fox_terrier,Irish_wolfhound,0.0986691266298294,5.983924264543821
388,26,142,gong,wall_clock,0.09451235830783844,5.715108763851421
412,26,85,academic_gown,oboe,0.09316734969615936,5.628127932740073
174,27,162,shoji,picket_fence,2.640667200088501,6.809212461367354
338,27,113,notebook,laptop,2.6128668785095215,6.75617267794273
497,27,65,kimono,theater_curtain,2.5579991340637207,6.651491396680021
250,27,129,desktop_computer,desktop_computer,2.552799940109253,6.641571938714611
6,27,35,clumber,curly-coated_retriever,2.4895858764648438,6.520966850188403
232,28,179,pencil_box,apron,3.879791259765625,3.9449420207929626
137,28,166,hard_disc,toilet_tissue,3.846139430999756,3.91176789765205
137,28,179,hard_disc,toilet_tissue,3.8448269367218018,3.9104740349291194
232,28,178,pencil_box,apron,3.83231782913208,3.8981425007812565
232,28,192,pencil_box,apron,3.7955808639526367,3.8619270363806306
11,29,139,saltshaker,cocktail_shaker,3.5479297637939453,8.27922453845277
163,29,111,digital_watch,iPod,3.092146396636963,7.40457383978786
163,29,83,digital_watch,iPod,2.799372673034668,6.842739511570094
273,29,142,jigsaw_puzzle,swimming_trunks,2.765162467956543,6.77708994660309
154,29,161,toaster,bagel,2.6557538509368896,6.567134230331325
157,30,46,hoopskirt,mosquito_net,4.084977149963379,9.455783837559961
